1.6638,1.6435,1.6102,1.6423,1.6587,1.6556,1.6044,1.6952,1.6815,1.7069,1.624,1.6526,1.6726,1.6886,1.6937
1.6967,1.7003,1.6508,1.7038,1.6962,1.7503,1.4677,1.692,1.6675,1.7417,1.6568,1.6612,1.6909,1.7068,1.7036
1.369,1.3784,1.3225,1.3288,1.3418,1.3611,1.295,1.351,1.3551,1.3686,1.325,1.3394,1.3448,1.3727,1.3569
1.4648,1.5552,1.4218,1.4639,1.4681,1.5115,1.2754,1.4818,1.4457,1.5287,1.4475,1.4525,1.4809,1.5055,1.5121
1.201,1.2186,1.1668,1.1724,1.1828,1.1747,1.1617,1.1806,1.2094,1.1914,1.1602,1.153,1.1673,1.1862,1.1575
1.31,1.3171,1.2774,1.3006,1.3008,1.3393,1.134,1.3734,1.3263,1.377,1.3096,1.3183,1.3274,1.3504,1.3488
1.1685,1.1747,1.171,1.1681,1.1982,1.199,1.1664,1.1696,1.2056,1.2092,1.1734,1.1686,1.1733,1.1789,1.1708
1.2139,1.2299,1.2009,1.184,1.2221,1.258,1.0234,1.2758,1.2493,1.3105,1.2398,1.2415,1.2332,1.2644,1.2597
1.8576,1.8493,1.8444,1.8505,1.8173,1.8235,1.828,1.909,1.8794,1.9136,1.8469,1.8397,1.8619,1.916,1.9267
1.9062,1.9078,1.8788,1.9108,1.9061,1.9493,1.7781,1.8775,1.9022,1.9209,1.8625,1.8624,1.8926,1.8918,1.9043
1.5093,1.5145,1.4794,1.5026,1.5053,1.5152,1.436,1.5095,1.5054,1.5415,1.5018,1.5061,1.4954,1.4885,1.5278
1.5407,1.5439,1.531,1.5334,1.541,1.5548,1.5017,1.5492,1.5412,1.5542,1.5222,1.5224,1.5515,1.5726,1.5429
1.3408,1.3629,1.3303,1.3564,1.3881,1.3909,1.325,1.338,1.3565,1.3825,1.3596,1.3454,1.3555,1.3328,1.3348
1.3099,1.2995,1.3095,1.2853,1.2892,1.2835,1.3056,1.335,1.3336,1.3088,1.2876,1.3122,1.3226,1.3481,1.3497
1.177,1.1608,1.1533,1.1801,1.172,1.1609,1.1599,1.1556,1.1672,1.1664,1.1667,1.1539,1.1656,1.1464,1.152
1.0203,1.0242,0.97629,1.0042,0.97819,0.99962,0.97915,1.0461,1.0361,1.0611,1.0145,1.0253,1.0199,1.0656,1.0701
1.866,1.8834,1.9083,1.8844,1.8143,1.8039,1.961,1.9128,1.9155,1.9386,1.8794,1.8741,1.9045,1.9936,1.9823
2.1593,2.1751,2.1311,2.14,2.1916,2.2107,2.0743,2.1726,2.1782,2.1727,2.1592,2.173,2.1661,2.1408,2.1733
1.5893,1.5972,1.6311,1.6278,1.6251,1.5508,1.6122,1.646,1.6363,1.7018,1.6828,1.6537,1.6268,1.6208,1.7073
1.7392,1.7536,1.7367,1.708,1.7399,1.7683,1.7708,1.749,1.7745,1.7115,1.7213,1.7368,1.7644,1.7899,1.7461
1.5179,1.5233,1.534,1.5442,1.5468,1.5248,1.5184,1.5129,1.5126,1.525,1.5684,1.5369,1.5134,1.4981,1.5214
1.4824,1.4757,1.5109,1.4521,1.4652,1.4473,1.5496,1.4968,1.5168,1.4806,1.477,1.4999,1.5022,1.5435,1.5301
1.1655,1.1828,1.1994,1.1423,1.1594,1.1373,1.1503,1.1553,1.141,1.1183,1.1656,1.1609,1.1498,1.1626,1.1269
0.962,0.94591,0.94049,0.97619,0.95604,0.97641,1.0256,0.95693,0.95618,0.98735,0.93745,0.95423,0.94779,0.96151,0.98871
1.8662,1.8859,1.9491,1.8804,1.8296,1.8032,2.0595,1.9209,1.9706,1.9596,1.8885,1.8915,1.9377,2.086,2.0551
2.3225,2.3416,2.2557,2.3025,2.3421,2.3621,2.2167,2.3169,2.2869,2.2794,2.3171,2.3488,2.3117,2.256,2.27
1.6593,1.6811,1.689,1.6809,1.6859,1.6543,1.6922,1.7277,1.7012,1.7458,1.7362,1.7282,1.6923,1.7092,1.7702
1.6891,1.6983,1.6904,1.6802,1.6772,1.6862,1.7402,1.6899,1.7201,1.6745,1.6856,1.679,1.7083,1.7416,1.699
1.5321,1.531,1.5266,1.5268,1.5475,1.5495,1.5499,1.5405,1.5223,1.5156,1.5353,1.5447,1.5375,1.5363,1.5266
1.4596,1.4633,1.4908,1.4473,1.4432,1.4101,1.5165,1.4656,1.4963,1.4752,1.472,1.4675,1.4735,1.5009,1.5134
1.1455,1.1529,1.2004,1.1128,1.1365,1.1327,1.1637,1.155,1.1568,1.1098,1.1619,1.1658,1.1704,1.1789,1.137
0.98277,0.95862,0.95261,0.98921,0.98574,0.95966,1.0883,0.93737,0.94098,0.96595,0.93434,0.96208,0.93795,0.92997,0.97385
1.8859,1.9066,1.9606,1.8812,1.8671,1.8437,2.1057,1.9487,2.0055,1.9232,1.93,1.9371,1.9761,2.0561,2.0319
2.2871,2.2884,2.2232,2.2733,2.271,2.2847,2.1908,2.2556,2.2163,2.2323,2.2776,2.2781,2.2629,2.2111,2.1936
1.6366,1.6569,1.6312,1.6239,1.6517,1.6566,1.6056,1.671,1.6493,1.6693,1.6743,1.6676,1.6584,1.65,1.6985
1.5737,1.5808,1.5961,1.5739,1.552,1.5544,1.6237,1.5676,1.5816,1.5709,1.5721,1.5729,1.5817,1.6096,1.5651
1.5691,1.5599,1.5519,1.5626,1.577,1.5849,1.6006,1.5708,1.5515,1.5578,1.5465,1.5623,1.5781,1.5449,1.5624
1.4435,1.4579,1.5021,1.4578,1.4467,1.4134,1.5141,1.458,1.4881,1.4589,1.4987,1.4772,1.4678,1.4812,1.4788
1.1802,1.1821,1.2244,1.1657,1.1872,1.169,1.2451,1.1882,1.1946,1.1588,1.1909,1.2023,1.1907,1.1832,1.1706
1.0494,1.0442,1.0431,1.0655,1.0404,1.032,1.1923,1.0193,1.0177,1.0244,1.0308,1.0427,1.0285,1.0215,1.0356
1.9139,1.9056,1.9389,1.9068,1.9116,1.8969,2.0401,1.9308,1.9622,1.9004,1.9555,1.9756,1.9373,1.9717,1.9751
2.0519,2.044,2.0579,2.0596,2.0173,2.0151,2.0919,2.0142,1.9827,1.9682,2.0455,1.9872,2.0149,1.9878,1.9478
1.6344,1.6122,1.5712,1.6055,1.6178,1.6535,1.533,1.5883,1.5625,1.5742,1.6174,1.5901,1.5934,1.5645,1.5617
1.4924,1.4908,1.5562,1.5186,1.488,1.4723,1.627,1.5025,1.5002,1.4755,1.5176,1.5029,1.4849,1.5008,1.468
1.6227,1.6379,1.6282,1.6534,1.6361,1.6561,1.6792,1.6232,1.624,1.5845,1.6106,1.6243,1.6174,1.6142,1.6145
1.5114,1.5059,1.5816,1.4949,1.5223,1.4543,1.6465,1.5067,1.5545,1.4868,1.5571,1.5608,1.5335,1.545,1.5429
1.2492,1.2453,1.2879,1.2654,1.2699,1.2373,1.3301,1.2422,1.2496,1.2313,1.2617,1.2649,1.2493,1.2237,1.2223
1.172,1.1619,1.1849,1.1692,1.1546,1.1555,1.3033,1.1615,1.1803,1.1429,1.1992,1.1853,1.1781,1.1846,1.1608
1.8219,1.8122,1.8245,1.8103,1.8236,1.8141,1.8273,1.7935,1.7883,1.7563,1.8228,1.8203,1.8026,1.7807,1.7497
1.7857,1.7765,1.8542,1.7986,1.7887,1.7435,1.9774,1.7679,1.7811,1.7213,1.8203,1.79,1.7776,1.765,1.7545
1.6886,1.6693,1.6509,1.6624,1.6187,1.6831,1.6026,1.5951,1.5976,1.5544,1.6216,1.6469,1.6264,1.5774,1.4956
1.5004,1.4999,1.5971,1.5257,1.5208,1.4705,1.7379,1.5152,1.5377,1.4835,1.5652,1.5351,1.5224,1.5119,1.5255
1.5921,1.5988,1.5983,1.5602,1.5751,1.5864,1.6756,1.5403,1.5338,1.475,1.5558,1.5679,1.5587,1.5285,1.4926
